customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST0001,Male,0,Yes,No,49,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,73.96,3624.05,Yes
CUST0002,Female,0,Yes,No,54,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.15,4567.96,No
CUST0003,Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,102.94,2596.36,Yes
CUST0004,Male,0,No,No,10,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,76.75,787.37,No
CUST0005,Male,1,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.51,656.79,No
CUST0006,Female,0,No,No,59,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer,78.94,4675.56,No
CUST0007,Male,0,No,No,66,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,70.79,4706.47,No
CUST0008,Female,0,Yes,No,68,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,66.45,4529.23,No
CUST0009,Male,0,Yes,Yes,17,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,116.22,1929.81,Yes
CUST0010,Male,0,Yes,No,44,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,44.3,1935.99,No
CUST0011,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,107.25,1197.16,Yes
CUST0012,Female,0,No,Yes,52,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer,56.47,2920.76,No
CUST0013,Female,0,No,No,30,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card,92.36,2811.3,Yes
CUST0014,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,88.23,4586.38,No
CUST0015,Female,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card,72.68,3636.13,Yes
